variable,col1,col2,col3,col4,col5,Sector,Subsector,Technology,Fuel,CCS_flag
Capacity|Electricity|Storage|Hydrogen Storage Capacity,Capacity,Electricity,Storage,Hydrogen Storage Capacity,,Power,HydrogenStorage,Hydrogen Storage Capacity,Storage,
Capacity|Storage|Thermal Energy Storage|Household storage,Capacity,Storage,Thermal Energy Storage,Household storage,,Power,Storage,Thermal Energy Storage - Household storage,,
Capital Cost|Electricity|Storage|Battery Capacity|Utility-scale Battery ,Capital Cost,Electricity,Storage,Battery Capacity,Utility-scale Battery ,Power,Storage,Battery Capacity - Utility-scale Battery ,Electricity,
Capital Cost|Storage|Thermal Energy Storage|District heating storage,Capital Cost,Storage,Thermal Energy Storage,District heating storage,,Heating,Storage,Thermal Energy Storage - District heating storage,,
Efficiency|Gas|Synthetic,Efficiency,Gas,Synthetic,,,Gas&Oil,Gas,Gas - Synthetic,Gas,
Lifetime|Electricity|Storage|Battery Capacity|Utility-scale Battery ,Lifetime,Electricity,Storage,Battery Capacity,Utility-scale Battery ,Power,Storage,Battery Capacity - Utility-scale Battery ,Electricity,
OM Cost |Electricity|Solar|PV|Rooftop PV,OM Cost ,Electricity,Solar,PV,Rooftop PV,Renewables,Solar,Rooftop PV,,
OM Cost|Heating|Electric boilers,OM Cost,Heating,Electric boilers,,,Heating,Electric Heating,Electric boilers,,
OM Cost|Storage|Thermal Energy Storage|Household storage,OM Cost,Storage,Thermal Energy Storage,Household storage,,Storage,Thermal Energy Storage,Household storage,,
Energy Service|Residential and Commercial|Commercial|Offices|Construction rate,Energy Service,Residential and Commercial,Commercial,Offices,Construction rate,Residential and Commercial,Commercial,,,
Energy Service|Residential and Commercial|Construction,Energy Service,Residential and Commercial,Construction,,,Residential and Commercial,Construction,,,
Emissions|BC|Energy,Emissions,BC,Energy,,,Energy,,Energy,,
Emissions|BC|Energy|Demand|Industry,Emissions,BC,Energy,Demand,Industry,Industry,Demand,Energy,,
Emissions|CH4|Energy|Demand|Transportation,Emissions,CH4,Energy,Demand,Transportation,Transportation,Demand,Energy,,
Emissions|CO2|Energy|Supply,Emissions,CO2,Energy,Supply,,Energy,Supply,Energy,,
Emissions|F-Gases,Emissions,F-Gases,,,,Gases,Fgas,,,
Emissions|HFC|HFC134a,Emissions,HFC,HFC134a,,,Gases,HFC,HFC134a,,
Emissions|NH3|Energy|Supply,Emissions,NH3,Energy,Supply,,Energy,Supply,Energy,,
Emissions|NOx|AFOLU,Emissions,NOx,AFOLU,,,Gases,Nox,AFOLU,,
Emissions|PFC,Emissions,PFC,,,,Gases,PFC,,,
Emissions|SF6,Emissions,SF6,,,,Gases,SF6,,,
Energy Service|Transportation|Passenger,Energy Service,Transportation,Passenger,,,Transportation,Passenger,,,
Fertilizer Use|Nitrogen,Fertilizer Use,Nitrogen,,,,Agriculture,,,,
Final Energy|Other Sector|Electricity,Final Energy,Other Sector,Electricity,,,Other,,,,
Final Energy|Other Sector|Solids,Final Energy,Other Sector,Solids,,,Other,,,,
Final Energy|Residential and Commercial|Commercial,Final Energy,Residential and Commercial,Commercial,,,Commercial,,,,
Final Energy|Residential and Commercial|Hydrogen,Final Energy,Residential and Commercial,Hydrogen,,,Hydrogen,,,,
Final Energy|Residential and Commercial|Residential|Liquids,Final Energy,Residential and Commercial,Residential,Liquids,,Residential,Liquids,,,
Final Energy|Transportation|Electricity,Final Energy,Transportation,Electricity,,,Transportation,Electricity,,,
Final Energy|Transportation|Freight|Liquids|Bioenergy,Final Energy,Transportation,Freight,Liquids,Bioenergy,Transportation,Freight,Liquids - Bioenergy,,
Final Energy|Transportation|Passenger|Liquids|Bioenergy,Final Energy,Transportation,Passenger,Liquids,Bioenergy,Transportation,Passenger,Liquids - Bioenergy,,
Forestry Production|Roundwood,Forestry Production,Roundwood,,,,Biomass,,,,
Forestry Production|Roundwood|Wood Fuel,Forestry Production,Roundwood,Wood Fuel,,,Biomass,,,,
Investment|Energy Supply,Investment,Energy Supply,,,,,,,,
Investment|Energy Supply|Electricity|Biomass|w/ CCS,Investment,Energy Supply,Electricity,Biomass,w/ CCS,Power,,Biomass,Biomass,w/ CCS
Investment|Energy Supply|Electricity|Gas,Investment,Energy Supply,Electricity,Gas,,Power,,Gas,Gas,
Investment|Energy Supply|Extraction|Bioenergy,Investment,Energy Supply,Extraction,Bioenergy,,Extraction,,Bioenergy,Bioenergy,
Investment|Energy Supply|Extraction|Coal,Investment,Energy Supply,Extraction,Coal,,Extraction,,Coal,Coal,
Investment|Energy Supply|Liquids|Oil,Investment,Energy Supply,Liquids,Oil,,Liquids,,Oil,Oil,
Land Cover|Forest,Land Cover,Forest,,,,,,,,
Primary Energy|Biomass|Electricity|w/o CCS,Primary Energy,Biomass,Electricity,w/o CCS,,Power,Biomass,Biomass - w/o CCS,,w/o CCS
Primary Energy|Biomass|Modern,Primary Energy,Biomass,Modern,,,Biomass,Modern,Modern,,
Primary Energy|Fossil,Primary Energy,Fossil,,,,Fossil,Fossil,Fossil,,
Primary Energy|Solar,Primary Energy,Solar,,,,Renewables,Solar,Solar,,
Primary Energy|Wind,Primary Energy,Wind,,,,Renewables,Wind,Wind,Wind,
Secondary Energy|Electricity|Oil|w/o CCS,Secondary Energy,Electricity,Oil,w/o CCS,,Power,Oil,Oil - w/o CCS,,w/o CCS
Secondary Energy|Heat,Secondary Energy,Heat,,,,Heat,,Heat,,
Secondary Energy|Liquids|Biomass|1st Generation,Secondary Energy,Liquids,Biomass,1st Generation,,Liquids,Biomass,Liquids - 1st Generation,,
Secondary Energy|Liquids|Fossil|w/o CCS,Secondary Energy,Liquids,Fossil,w/o CCS,,Liquids,Fossil,Liquids - w/o CCS,,w/o CCS
Water Consumption|Electricity,Water Consumption,Electricity,,,,Power,,,,
Water Consumption|Electricity|Coal|w/o CCS,Water Consumption,Electricity,Coal,w/o CCS,,Power,Coal,Coal - w/o CCS,Coal,w/o CCS
Water Consumption|Electricity|Oil,Water Consumption,Electricity,Oil,,,Power,Oil,Oil,Oil,
Water Withdrawal|Electricity|Biomass|w/ CCS,Water Withdrawal,Electricity,Biomass,w/ CCS,,Power,Biomass,Biomass - w/ CCS,Biomass,w/ CCS
Water Withdrawal|Electricity|Fossil,Water Withdrawal,Electricity,Fossil,,,Power,Fossil,Fossil,Fossil,
Water Withdrawal|Electricity|Fossil|w/ CCS,Water Withdrawal,Electricity,Fossil,w/ CCS,,Power,Fossil,Fossil - w/ CCS,Fossil,w/ CCS
Water Withdrawal|Electricity|Gas|w/ CCS,Water Withdrawal,Electricity,Gas,w/ CCS,,Power,Gas,Gas - w/ CCS,Gas,w/ CCS
Water Withdrawal|Electricity|Oil,Water Withdrawal,Electricity,Oil,,,Power,Oil,Oil,Oil,
Agricultural Production|Non-Energy,Agricultural Production,Non-Energy,,,,Agriculture,,Non-Energy,,
Capacity Additions|Electricity|Hydro,Capacity Additions,Electricity,Hydro,,,Renewables,Hydro,Hydro,Hydro,
Capacity|Electricity|Biomass,Capacity,Electricity,Biomass,,,Power,Biomass,,Biomass,
Capacity|Electricity|Nuclear,Capacity,Electricity,Nuclear,,,Power,Nuclear,,Nuclear,
Capacity|Liquids|Oil,Capacity,Liquids,Oil,,,Power,Liquids,,Oil,
Capital Cost|Electricity|Biomass|w/ CCS,Capital Cost,Electricity,Biomass,w/ CCS,,Power,Biomass,Biomass - w/ CCS,Biomass,w/ CCS
Capital Cost|Electricity|Gas|w/o CCS,Capital Cost,Electricity,Gas,w/o CCS,,Power,Gas,Gas - w/o CCS,,w/o CCS
Carbon Sequestration|CCS|Fossil|Energy|Demand|Industry,Carbon Sequestration,CCS,Fossil,Energy,Demand,Energy,Demand,CCS,Fossil,CCS
Carbon Sequestration|CCS|Industrial Processes,Carbon Sequestration,CCS,Industrial Processes,,,,,CCS,,CCS
Cumulative Capacity|Electricity|Hydro,Cumulative Capacity,Electricity,Hydro,,,Renewables,Hydro,Hydro,Hydro,
Cumulative Capacity|Electricity|Nuclear,Cumulative Capacity,Electricity,Nuclear,,,Power,Nuclear,Nuclear,Nuclear,
Cumulative Capacity|Electricity|Oil|w/o CCS,Cumulative Capacity,Electricity,Oil,w/o CCS,,Power,Oil,Oil - w/o CCS,Oil,w/o CCS
Capacity|Electricity|Other,Capacity,Electricity,Other,,,Power,Other,,Other,
Emissions|NH3|Energy|Demand|Residential and Commercial,Emissions,NH3,Energy,Demand,Residential and Commercial,Residential and Commercial,Demand,Energy,,
Emissions|NOx|Energy|Demand|Residential and Commercial,Emissions,NOx,Energy,Demand,Residential and Commercial,Residential and Commercial,Demand,Energy,,
Emissions|OC|Energy|Demand|Residential and Commercial,Emissions,OC,Energy,Demand,Residential and Commercial,Residential and Commercial,Demand,Energy,,
Capacity|Electricity|Solar|CSP,Capacity,Electricity,Solar,CSP,,Power,Solar,Solar - CSP,Solar,
Investment|Energy Efficiency,Investment,Energy Efficiency,,,,,,,,
Lifetime|Electricity|Coal|w/ CCS,Lifetime,Electricity,Coal,w/ CCS,,Power,Coal,Coal - w/ CCS,Coal,w/ CCS
Lifetime|Electricity|Solar|CSP,Lifetime,Electricity,Solar,CSP,,Renewables,Solar,Solar - CSP,Solar,
Primary Energy|Ocean,Primary Energy,Ocean,,,,Renewables,Ocean,Ocean,,
Secondary Energy|Hydrogen,Secondary Energy,Hydrogen,,,,Hydrogen,,Hydrogen,,
Capacity Additions|Electricity|Wind|Offshore,Capacity Additions,Electricity,Wind,Offshore,,Power,Wind,Wind - Offshore,Wind,
Capacity|Hydrogen|Electricity,Capacity,Hydrogen,Electricity,,,Power,Hydrogen,Hydrogen - Electricity,,
Capacity Additions|Electricity|Storage Capacity,Capacity Additions,Electricity,Storage Capacity,,,Power,Storage,Storage Capacity,Storage Capacity,
Energy Service|Floor Space|Commercial,Energy Service,Floor Space,Commercial,,,Floor Space,Commercial,,,
Energy Service|Transportation|Passenger|Other,Energy Service,Transportation,Passenger,Other,,Transportation,Passenger,,,
Emissions|CO2|Energy|Demand|Transportation|Aviation|Freight,Emissions,CO2,Energy,Demand,Transportation,Transportation,Demand,Energy,,
Final Energy|Transportation|Road|Freight|Electric,Final Energy,Transportation,Road,Freight,Electric,Transportation,Road,Freight - Electric,,
Emissions|CO2|Energy|Demand|Residential and Commercial|Residential|Heating|Water,Emissions,CO2,Energy,Demand,Residential and Commercial,Residential and Commercial,Demand,Energy,,
Final Energy|Residential and Commercial|Commercial|Heating,Final Energy,Residential and Commercial,Commercial,Heating,,Commercial,Heating,,,
Household Expenditure|Energy|Share,Household Expenditure,Energy,Share,,,,,,,
Trade|Value|Imports,Trade,Value,Imports,,,,,,,
Cumulative Capacity|Electricity|Wind,Cumulative Capacity,Electricity,Wind,,,Power,Wins,Wind,Wind,
Primary Energy|Oil|Liquids,Primary Energy,Oil,Liquids,,,Oil,Oil,Oil - Liquids,Liquids,
Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial|Heating|Water,Emissions,CO2,Energy,Demand,Residential and Commercial,Residential and Commercial,Demand,Energy,,
Energy Service|Residential and Commercial|Commercial|Health|Floor space,Energy Service,Residential and Commercial,Commercial,Health,Floor space,Residential and Commercial,Commercial,,,
Capital Cost|Electricity|Solar|CSP,Capital Cost,Electricity,Solar,CSP,,Renewables,Solar,Solar - CSP,,
Emissions|C2F6,Emissions,C2F6,,,,Gases,C2F6,,,
Price|Secondary Energy|Liquids|Oil,Price,Secondary Energy,Liquids,Oil,,Liquids,Oil,Oil,Oil,
Policy Cost|Area under MAC Curve,Policy Cost,Area under MAC Curve,,,,,,,,
Emissions|OC|Other,Emissions,OC,Other,,,,,Other,,
Employment,Employment,,,,,,,,,
Import|Other,Import,Other,,,,Import,,,,
Emissions|N2O|Industrial Processes,Emissions,N2O,Industrial Processes,,,Industry,,Industrial Processes,,
Cumulative Capacity|Hydrogen|Biomass|w/o CCS,Cumulative Capacity,Hydrogen,Biomass,w/o CCS,,Power,Hydrogen,Biomass - w/o CCS,Biomass,w/o CCS
Trade|Primary Energy|Biomass|Value,Trade,Primary Energy,Biomass,Value,,Biomass,Biomass,,Biomass,
Trade|Secondary Energy|Liquids|Oil|Value,Trade,Secondary Energy,Liquids,Oil,Value,Liquids,Oil,,Oil,
Value Added|Industry|Manufacturing|Cement,Value Added,Industry,Manufacturing,Cement,,Industry,Manufacturing,Cement,,
Capacity|Hydrogen|Gas|w/o CCS,Capacity,Hydrogen,Gas,w/o CCS,,Power,Hydrogen,Hydrogen - Gas,,w/o CCS
Cumulative Capacity|Hydrogen|Gas,Cumulative Capacity,Hydrogen,Gas,,,Power,Hydrogen,Gas,Gas,
Investment|Energy Supply|Hydrogen|Fossil,Investment,Energy Supply,Hydrogen,Fossil,,Hydrogen,,Fossil,Fossil,
Price|Secondary Energy|Solids|Biomass,Price,Secondary Energy,Solids,Biomass,,Biomass,Biomass,Biomass,Biomass_solid,
Water Withdrawal|Electricity|Ocean,Water Withdrawal,Electricity,Ocean,,,Power,Ocean,Ocean,Ocean,
Trade|Emissions Allowances|Volume,Trade,Emissions Allowances,Volume,,,,,,,
Emissions|CH4|AFOLU|Land,Emissions,CH4,AFOLU,Land,,Gases,Land,AFOLU,,
Emissions|CH4|Industrial Processes|Chemicals,Emissions,CH4,Industrial Processes,Chemicals,,Chemicals,Chemicals,Industrial Processes,,
Emissions|CO2|Energy|Demand|Industry|Pulp and Paper,Emissions,CO2,Energy,Demand,Industry,Industry,Demand,Energy,,
Emissions|CO2|Industrial Processes|Cement,Emissions,CO2,Industrial Processes,Cement,,Cement,Cement,Industrial Processes,,
Emissions|CO|Energy|Demand|Residential and Commercial|Commercial,Emissions,CO,Energy,Demand,Residential and Commercial,Residential and Commercial,Demand,Energy,,
Emissions|Sulfur|Industrial Processes,Emissions,Sulfur,Industrial Processes,,,Industry,,Industrial Processes,,
Final Energy|Industry|Cement|Electricity,Final Energy,Industry,Cement,Electricity,,Cement,Electricity,,,
Final Energy|Industry|Cement|Solids|Bioenergy,Final Energy,Industry,Cement,Solids,Bioenergy,Cement,Solids,Bioenergy,,
Final Energy|Industry|Cement|Solids|Fossil,Final Energy,Industry,Cement,Solids,Fossil,Cement,Solids,Fossil,,
Final Energy|Industry|Chemicals|Gases,Final Energy,Industry,Chemicals,Gases,,Chemicals,Gases,,,
Final Energy|Industry|Chemicals|High value chemicals|Solids,Final Energy,Industry,Chemicals,High value chemicals,Solids,Chemicals,High value chemicals,Solids,,
Final Energy|Industry|Pulp and Paper|Electricity,Final Energy,Industry,Pulp and Paper,Electricity,,Pulp and Paper,Electricity,,,
Final Energy|Industry|Pulp and Paper|Gases,Final Energy,Industry,Pulp and Paper,Gases,,Pulp and Paper,Gases,,,
Final Energy|Industry|Steel|Liquids,Final Energy,Industry,Steel,Liquids,,Steel,Liquids,,,
Final Energy|Transportation|Gases|Fossil,Final Energy,Transportation,Gases,Fossil,,Transportation,Gases,Fossil,,
Material recycling|Chemicals,Material recycling,Chemicals,,,,,,,,
Final Energy|Transportation|Liquids|Biomass,Final Energy,Transportation,Liquids,Biomass,,Transportation,Liquids,Biomass,,
Land Cover|Forest|Share,Land Cover,Forest,Share,,,,,,,
Production|Non-ferrous Metals,Production,Non-ferrous Metals,,,,,,,,
Value Added|Industry|Manufacturing|Chemicals,Value Added,Industry,Manufacturing,Chemicals,,Industry,Manufacturing,Chemicals,,
Population|Urban|Share,Population,Urban,Share,,,,,,,
Primary Energy|Non-Biomass Renewables|Ocean,Primary Energy,Non-Biomass Renewables,Ocean,,,Renewables,Non-Biomass Renewables,Ocean,,
Discount rate|Social,Discount rate,Social,,,,Social,,,,
Interest Rate|Real,Interest Rate,Real,,,,,,,,
Final Energy|Industry|Gases|Hydrogen synfuel,Final Energy,Industry,Gases,Hydrogen synfuel,,Industry,Gases,Hydrogen synfuel,,
Capacity|Liquids|Gas|w/ CCS,Capacity,Liquids,Gas,w/ CCS,,Power,Liquids,,Gas,w/ CCS
Lifetime|Liquids|Oil,Lifetime,Liquids,Oil,,,Liquids,Oil,Oil,Oil,
Carbon Sequestration|Land Use|Other,Carbon Sequestration,Land Use,Other,,,,,Land Use,Other,
Emissions|CH4|AFOLU|Wetlands|Peatlands,Emissions,CH4,AFOLU,Wetlands,Peatlands,Peatlands,Wetlands,AFOLU,,
Emissions|CO2|AFOLU|Wetlands|Peatlands,Emissions,CO2,AFOLU,Wetlands,Peatlands,Peatlands,Wetlands,AFOLU,,
Emissions|N2O|AFOLU|Wetlands|Peatlands,Emissions,N2O,AFOLU,Wetlands,Peatlands,Peatlands,Wetlands,AFOLU,,
Land Cover|Water Ecosystems|Wetlands|Peatlands|Drained,Land Cover,Water Ecosystems,Wetlands,Peatlands,Drained,,,,,
Land Cover|Water Ecosystems|Wetlands|Peatlands|Intact,Land Cover,Water Ecosystems,Wetlands,Peatlands,Intact,,,,,
Capacity|Liquids|Biomass,Capacity,Liquids,Biomass,,,Power,Liquids,,Biomass,
Lifetime|Hydrogen|Biomass|w/ CCS,Lifetime,Hydrogen,Biomass,w/ CCS,,Hydrogen,Biomass,Biomass - w/ CCS,Biomass,w/ CCS
Water Consumption|Extraction,Water Consumption,Extraction,,,,Extraction,,,,
Water Consumption|Extraction|Gas,Water Consumption,Extraction,Gas,,,Extraction,Gas,Gas,Gas,
Water Consumption|Gases,Water Consumption,Gases,,,,Gases,Gases,Water Consumption,,
Water Consumption|Hydrogen|Coal|w/o CCS,Water Consumption,Hydrogen,Coal,w/o CCS,,Hydrogen,Coal,Coal - w/o CCS,Coal,w/o CCS
Water Consumption|Hydrogen|Fossil,Water Consumption,Hydrogen,Fossil,,,Hydrogen,Fossil,Fossil,Fossil,
Water Withdrawal|Extraction,Water Withdrawal,Extraction,,,,Extraction,,,,
Water Withdrawal|Gases|Coal,Water Withdrawal,Gases,Coal,,,Gases,Coal,Coal,Coal,
Water Withdrawal|Hydrogen|Coal|w/ CCS,Water Withdrawal,Hydrogen,Coal,w/ CCS,,Hydrogen,Coal,Coal - w/ CCS,Coal,w/ CCS
Water Withdrawal|Hydrogen|Fossil,Water Withdrawal,Hydrogen,Fossil,,,Hydrogen,Fossil,Fossil,Fossil,
Water Withdrawal|Liquids|Biomass|w/ CCS,Water Withdrawal,Liquids,Biomass,w/ CCS,,Liquids,Biomass,Biomass - w/ CCS,Biomass,w/ CCS
Water Withdrawal|Liquids|Coal|w/ CCS,Water Withdrawal,Liquids,Coal,w/ CCS,,Liquids,Coal,Coal - w/ CCS,Coal,w/ CCS
Water Withdrawal|Liquids|Fossil|w/ CCS,Water Withdrawal,Liquids,Fossil,w/ CCS,,Liquids,Fossil,Fossil - w/ CCS,Fossil,w/ CCS
Water Withdrawal|Liquids|Fossil|w/o CCS,Water Withdrawal,Liquids,Fossil,w/o CCS,,Liquids,Fossil,Fossil - w/o CCS,Fossil,w/o CCS
Emissions|CO2|Energy|Demand|Industry|Cement,Emissions,CO2,Energy,Demand,Industry,Industry,Demand,Energy,,
Investment|Infrastructure|Residential and Commercial|Building Retrofits,Investment,Infrastructure,Residential and Commercial,Building Retrofits,,Residential and Commercial,,Building Retrofits,Building Retrofits,
Capacity|Storage|Thermal Energy Storage|District heating storage,Capacity,Storage,Thermal Energy Storage,District heating storage,,Power,Storage,Thermal Energy Storage - District heating storage,,
Emissions|CH4|AFOLU,Emissions,CH4,AFOLU,,,,,AFOLU,,
Emissions|CH4|AFOLU|Agriculture|Livestock,Emissions,CH4,AFOLU,Agriculture,Livestock,Livestock,Agriculture,AFOLU,,
Emissions|CH4|AFOLU|Agriculture|Livestock|Manure Management,Emissions,CH4,AFOLU,Agriculture,Livestock,Livestock,Agriculture,AFOLU,,
Emissions|CO2|Energy|Demand|AFOFI,Emissions,CO2,Energy,Demand,AFOFI,Energy,Demand,AFOFI,,
Emissions|CO|Energy|Demand|Industry,Emissions,CO,Energy,Demand,Industry,Industry,Demand,Energy,,
Emissions|N2O|AFOLU|Agriculture|Livestock|Manure Management,Emissions,N2O,AFOLU,Agriculture,Livestock,Livestock,Agriculture,AFOLU,,
Emissions|Sulfur,Emissions,Sulfur,,,,,,,,
Emissions|Sulfur|Energy,Emissions,Sulfur,Energy,,,,,Energy,,
Emissions|Sulfur|Energy|Demand|Transportation,Emissions,Sulfur,Energy,Demand,Transportation,Transportation,Demand,Energy,,
Energy Service|Transportation|Freight|Railways,Energy Service,Transportation,Freight,Railways,,Transportation,Freight,,,
Final Energy|Industry,Final Energy,Industry,,,,Industry,,,,
Final Energy|Industry|Hydrogen,Final Energy,Industry,Hydrogen,,,Hydrogen,,,,
Final Energy|Industry|Solids|Biomass,Final Energy,Industry,Solids,Biomass,,Industry,Biomass,,,
Final Energy|Liquids,Final Energy,Liquids,,,,Liquids,,,,
Final Energy|Non-Energy Use,Final Energy,Non-Energy Use,,,,Non-Energy Use,,,,
Final Energy|Other Sector|Liquids,Final Energy,Other Sector,Liquids,,,Liquids,,,,
Final Energy|Residential and Commercial,Final Energy,Residential and Commercial,,,,Residential and Commercial,,,,
Final Energy|Residential and Commercial|Electricity,Final Energy,Residential and Commercial,Electricity,,,Power,Residential and Commercial,,,
Final Energy|Residential and Commercial|Residential|Solids|Biomass,Final Energy,Residential and Commercial,Residential,Solids,Biomass,Residential,Solids,Biomass,,
Final Energy|Residential and Commercial|Solids|Biomass,Final Energy,Residential and Commercial,Solids,Biomass,,Residential and Commercial,Biomass,,,
Final Energy|Transportation|Freight|Electricity,Final Energy,Transportation,Freight,Electricity,,Transportation,Freight,Electricity,,
Final Energy|Transportation|Freight|Liquids,Final Energy,Transportation,Freight,Liquids,,Transportation,Freight,Liquids,,
Forestry Demand|Roundwood|Industrial Roundwood,Forestry Demand,Roundwood,Industrial Roundwood,,,Biomass,,,,
Investment|Energy Supply|Electricity,Investment,Energy Supply,Electricity,,,Power,Energy Supply,,,
Investment|Energy Supply|Electricity|Coal,Investment,Energy Supply,Electricity,Coal,,Power,Energy Supply,Coal,Coal,
Investment|Energy Supply|Electricity|Geothermal,Investment,Energy Supply,Electricity,Geothermal,,Renewables,Energy Supply,Geothermal,Geothermal,
Investment|Energy Supply|Liquids|Biomass,Investment,Energy Supply,Liquids,Biomass,,Liquids,,Biomass,Biomass,
Land Cover|Built-up Area,Land Cover,Built-up Area,,,,,,,,
OM Cost|Fixed|Electricity|Solar|PV,OM Cost,Fixed,Electricity,Solar,PV,Renewables,Solar,Solar - PV,,
Primary Energy|Biomass|Electricity|w/ CCS,Primary Energy,Biomass,Electricity,w/ CCS,,Power,Biomass,Biomass - w/ CCS,,w/ CCS
Primary Energy|Biomass|Traditional,Primary Energy,Biomass,Traditional,,,Biomass,Traditional,Traditional,,
Primary Energy|Gas|Electricity,Primary Energy,Gas,Electricity,,,Power,,Gas,Gas,
Primary Energy|Geothermal,Primary Energy,Geothermal,,,,Renewables,Geothermal,Geothermal,,
Primary Energy|Oil|w/o CCS,Primary Energy,Oil,w/o CCS,,,Oil,Oil,Oil - w/o CCS,Oil,w/o CCS
Primary Energy|Other,Primary Energy,Other,,,,Other,,,,
Secondary Energy|Electricity|Nuclear,Secondary Energy,Electricity,Nuclear,,,Power,Nuclear,Nuclear,,
Secondary Energy|Electricity|Oil,Secondary Energy,Electricity,Oil,,,Power,Oil,Oil,,
Secondary Energy|Electricity|Other,Secondary Energy,Electricity,Other,,,Power,Other,Other,,
Secondary Energy|Electricity|Wind|Onshore,Secondary Energy,Electricity,Wind,Onshore,,Renewables,Wind,Wind - Onshore,Wind,
Trade|Secondary Energy|Liquids|Oil|Volume,Trade,Secondary Energy,Liquids,Oil,Volume,Liquids,Oil,,Oil,
Water Consumption|Electricity|Biomass,Water Consumption,Electricity,Biomass,,,Power,Biomass,Biomass,Biomass,
Water Consumption|Electricity|Fossil|w/o CCS,Water Consumption,Electricity,Fossil,w/o CCS,,Power,Fossil,Fossil - w/o CCS,Fossil,w/o CCS
Water Consumption|Electricity|Geothermal,Water Consumption,Electricity,Geothermal,,,Renewables,Geothermal,Geothermal,Geothermal,
Water Consumption|Electricity|Hydro,Water Consumption,Electricity,Hydro,,,Renewables,Hydro,Hydro,Hydro,
Water Consumption|Electricity|Non-Biomass Renewables,Water Consumption,Electricity,Non-Biomass Renewables,,,Renewables,Non-Biomass Renewables,Non-Biomass Renewables,Non-Biomass Renewables,
Water Consumption|Electricity|Oil|w/o CCS,Water Consumption,Electricity,Oil,w/o CCS,,Power,Oil,Oil - w/o CCS,Oil,w/o CCS
Agricultural Demand,Agricultural Demand,,,,,Agriculture,,,,
Capacity Additions|Electricity|Coal,Capacity Additions,Electricity,Coal,,,Power,Coal,Coal,Coal,
Capacity Additions|Electricity|Gas|w/o CCS,Capacity Additions,Electricity,Gas,w/o CCS,,Power,Gas,Gas - w/o CCS,Gas,w/o CCS
Capacity Additions|Electricity|Wind|Onshore,Capacity Additions,Electricity,Wind,Onshore,,Power,Wind,Wind - Onshore,Wind,
Capacity|Electricity,Capacity,Electricity,,,,Power,Electricity,,,
Capacity|Electricity|Biomass|w/ CCS,Capacity,Electricity,Biomass,w/ CCS,,Power,Biomass,w/ CCS,Biomass,w/ CCS
Capacity|Electricity|Biomass|w/o CCS,Capacity,Electricity,Biomass,w/o CCS,,Power,Biomass,w/o CCS,Biomass,w/o CCS
Capacity|Electricity|Storage,Capacity,Electricity,Storage,,,Power,Storage,Storage,Storage,
Capital Cost|Liquids|Oil,Capital Cost,Liquids,Oil,,,Gas&Oil,Oil,Oil,,
Carbon Sequestration|CCS,Carbon Sequestration,CCS,,,,,,CCS,,CCS
Carbon Sequestration|CCS|Fossil,Carbon Sequestration,CCS,Fossil,,,Fossil,,CCS,Fossil,CCS
Cumulative Capacity|Electricity|Oil|w/ CCS,Cumulative Capacity,Electricity,Oil,w/ CCS,,Power,Oil,Oil - w/ CCS,Oil,w/ CCS
Efficiency|Electricity|Gas|w/ CCS,Efficiency,Electricity,Gas,w/ CCS,,Power,Gas,Gas - w/ CCS,Gas,w/ CCS
Final Energy|Transportation|Freight|Other,Final Energy,Transportation,Freight,Other,,Transportation,Freight,Other,,
Agricultural Demand|Crops|Energy,Agricultural Demand,Crops,Energy,,,Agriculture,Crops,Energy,,
OM Cost|Fixed|Electricity|Coal|w/ CCS,OM Cost,Fixed,Electricity,Coal,w/ CCS,Power,Coal,Coal - w/ CCS,,w/ CCS
Primary Energy|Biomass|Modern|w/o CCS,Primary Energy,Biomass,Modern,w/o CCS,,Biomass,Modern,Modern - w/o CCS,,w/o CCS
Final Energy|Residential and Commercial|Other,Final Energy,Residential and Commercial,Other,,,Residential and Commercial,,,,
Carbon Sequestration|CCS|Biomass|Energy|Supply|Other,Carbon Sequestration,CCS,Biomass,Energy,Supply,Energy,Supply,CCS,Biomass,CCS
Carbon Sequestration|CCS|Fossil|Energy|Supply|Hydrogen,Carbon Sequestration,CCS,Fossil,Energy,Supply,Energy,Supply,CCS,Fossil,CCS
Lifetime|Electricity|Gas|w/ CCS,Lifetime,Electricity,Gas,w/ CCS,,Power,Gas,Gas - w/ CCS,Gas,w/ CCS
Lifetime|Electricity|Wind|Onshore,Lifetime,Electricity,Wind,Onshore,,Renewables,Wind,Wind - Onshore,Wind,
Secondary Energy|Hydrogen|Coal|w/ CCS,Secondary Energy,Hydrogen,Coal,w/ CCS,,Hydrogen,Coal,Hydrogen - w/ CCS,,w/ CCS
Secondary Energy|Hydrogen|Fossil|w/ CCS,Secondary Energy,Hydrogen,Fossil,w/ CCS,,Hydrogen,Fossil,Hydrogen - w/ CCS,,w/ CCS
Secondary Energy|Other Carrier,Secondary Energy,Other Carrier,,,,Other Carrier,,Other Carrier,,
Final Energy|Transportation|Passenger|Gases,Final Energy,Transportation,Passenger,Gases,,Transportation,Passenger,Gases,,
